customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5248-YGIJN,1,0,1,0,0.9999999999999999,1,2,0,2,2,2,2,2,2,2,1,1,0.7164179104477613,0.7328236787445188,0
8773-HHUOZ,0,0,0,1,0.20289855072463767,1,0,0,0,0,0,0,2,2,0,1,3,0.46218905472636823,0.12396722824832676,1
3841-NFECX,0,0,1,0,0.9855072463768115,1,2,1,2,2,2,2,0,0,2,1,1,0.7771144278606965,0.7786925917378259,0
4929-XIHVW,1,0,1,0,0.4661002186524596,1,0,1,0,0,2,0,2,2,0,1,1,0.7686567164179106,0.018791830140780064,0
6827-IEAUQ,0,0,1,1,0.3478260869565217,1,0,0,2,2,2,2,0,0,1,0,3,0.47661691542288565,0.21412993307177475,0
7310-EGVHZ,1,0,0,0,0.4264026973998779,1,0,2,1,1,1,1,1,1,0,0,0,0.019402985074626955,0.0001615508885298711,0
3413-BMNZE,1,0,0,0,0.4264026973998779,1,0,0,0,0,0,0,0,0,0,0,0,0.26865671641791045,0.0030521578582967668,0
6234-RAAPL,0,0,1,1,0.9999999999999999,1,2,1,2,2,0,2,2,0,2,0,0,0.8124378109452737,0.8346295868912992,0
6047-YHPVI,1,0,0,0,0.02898550724637681,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.03439879990768521,1
6572-ADKRS,0,0,0,0,0.6231884057971014,1,0,1,0,0,2,0,0,0,0,1,1,0.5626865671641791,0.40728132933302563,0
5380-WJKOV,1,0,0,0,0.4492753623188405,1,2,1,0,2,2,0,2,2,0,1,2,0.8766169154228856,0.4073909531502423,1
8168-UQWWF,0,0,0,0,0.11594202898550722,1,2,1,0,0,2,0,2,2,0,1,0,0.7920398009950249,0.12538656819755364,1
8865-TNMNX,1,0,1,1,0.1014492753623188,1,0,0,0,2,0,0,0,0,1,0,3,0.3114427860696517,0.05272328640664667,0
9489-DEDVP,0,0,1,1,0.9710144927536231,1,2,0,2,2,0,0,2,0,2,1,1,0.5069651741293533,0.5600680821601662,0
9867-JCZSP,0,0,1,1,0.20289855072463767,1,0,2,1,1,1,1,1,1,1,0,3,0.024875621890547317,0.046093930302330915,0
4671-VJLCL,0,0,0,0,0.8695652173913043,1,2,0,2,2,2,2,2,0,2,1,1,0.6129353233830845,0.5588102930994692,0
4080-IIARD,0,0,1,0,0.14492753623188404,1,2,0,2,2,0,2,2,0,0,1,2,0.5766169154228856,0.11108354488806829,0
3714-NTNFO,0,0,0,0,0.6666666666666666,1,2,1,0,0,0,0,0,2,0,1,2,0.6592039800995024,0.44863835679667663,0
5948-UJZLF,1,0,0,0,0.4661002186524596,1,0,0,0,2,0,0,0,0,0,0,3,0.30845771144278605,0.009023771059312236,0
7760-OYPDY,0,0,0,0,0.4661002186524596,1,0,1,0,0,0,0,2,0,0,1,2,0.6208955223880598,0.014464574198015223,1
7639-LIAYI,1,0,0,0,0.7101449275362318,1,2,0,2,0,0,2,2,2,2,1,1,0.6119402985074627,0.4845372720978537,0
2954-PIBKO,0,0,1,1,0.9565217391304347,1,2,0,2,0,2,2,0,0,2,1,1,0.4567164179104478,0.48872605585045004,0
8012-SOUDQ,0,0,0,0,0.5797101449275363,1,2,1,0,2,0,0,2,0,0,1,2,0.7164179104477613,0.4407973690283868,0
9420-LOJKX,0,0,0,0,0.17391304347826084,1,0,1,2,2,0,0,2,2,0,1,1,0.8044776119402985,0.16242787906762057,1
6575-SUVOI,0,0,1,0,0.3188405797101449,1,2,0,2,0,0,2,2,0,0,1,1,0.509950248756219,0.20007500576967457,0
7495-OOKFY,0,0,1,0,0.07246376811594202,1,2,1,0,2,0,0,0,0,0,1,1,0.6208955223880598,0.07090930071543963,1
4667-QONEA,0,0,1,1,0.8260869565217391,1,0,0,2,2,2,2,0,2,1,1,1,0.56318407960199,0.5120643895684284,0
1658-BYGOY,1,0,0,0,0.21739130434782603,1,2,1,0,0,0,0,2,2,0,1,2,0.7681592039800995,0.20006346642049386,1
8769-KKTPH,0,0,1,1,0.8695652173913043,1,2,1,2,0,0,0,2,2,1,1,1,0.809950248756219,0.7261020078467575,0
5067-XJQFU,1,0,1,1,0.9130434782608694,1,2,1,0,2,2,2,2,2,1,1,2,0.8975124378109454,0.8143953381029311,0
3957-SQXML,0,0,1,1,0.4492753623188405,1,2,2,1,1,1,1,1,1,2,0,1,0.06666666666666671,0.10102700207708282,0
5954-BDFSG,0,0,0,0,0.9999999999999999,1,2,1,0,0,2,2,2,2,2,1,1,0.8880597014925373,0.9040964689591506,0
0434-CSFON,0,0,1,0,0.6376811594202898,1,2,1,0,0,2,0,2,2,0,1,2,0.8184079601990051,0.5409993076390492,0
1215-FIGMP,1,0,0,0,0.8260869565217391,1,2,1,0,2,0,0,2,0,0,1,0,0.7129353233830846,0.6268059081467805,0
0526-SXDJP,1,0,1,0,0.9999999999999999,1,1,0,2,2,2,0,0,0,2,0,0,0.2373134328358209,0.3396261250865451,0
0557-ASKVU,0,0,1,1,0.21739130434782603,1,0,0,0,0,2,2,0,0,1,1,1,0.3597014925373134,0.10827371336256633,0
5698-BQJOH,0,0,0,0,0.08695652173913042,1,2,1,0,0,0,0,2,2,0,0,2,0.7577114427860697,0.09675167320563119,1
5122-CYFXA,0,0,0,0,0.48236602175280147,1,0,0,0,2,0,2,2,2,0,1,2,0.5676616915422885,0.025998153704131055,0
8627-ZYGSZ,1,0,1,0,0.6376811594202898,1,2,1,0,2,0,0,0,0,1,1,2,0.6034825870646767,0.41905723517193627,0
3410-YOQBQ,0,0,0,0,0.40579710144927533,1,0,0,0,2,2,2,2,2,2,0,3,0.6064676616915423,0.28599123009462263,0
3170-NMYVV,0,0,1,1,0.6811594202898551,1,0,2,1,1,1,1,1,1,2,0,0,0.018905472636815968,0.10525040387722132,0
7410-OIEDU,1,0,0,0,0.1014492753623188,1,0,1,2,0,2,0,0,0,0,1,3,0.6129353233830845,0.10022501730902375,0
2273-QCKXA,1,0,0,0,0.4264026973998779,1,0,0,0,0,0,2,0,0,0,0,3,0.30646766169154227,0.0034906531271636787,0
0731-EBJQB,0,0,1,1,0.7101449275362318,1,0,2,1,1,1,1,1,1,1,1,2,0.021393034825870683,0.12368451419339949,0
1891-QRQSA,1,0,1,1,0.8840579710144927,1,2,1,2,0,2,2,2,2,2,1,0,0.9288557213930348,0.8170090006923609,0
8028-PNXHQ,1,0,1,1,0.855072463768116,1,2,2,1,1,1,1,1,1,2,1,0,0.059701492537313494,0.16222017078236786,0
5630-AHZIL,0,0,0,1,0.48236602175280147,1,0,0,2,0,0,2,0,2,0,1,0,0.4601990049751244,0.01830140780060005,0
2673-CXQEU,0,0,0,0,0.7681159420289856,1,2,1,2,2,2,0,2,2,1,0,2,0.9179104477611941,0.7062889453034848,0
6416-JNVRK,0,0,0,0,0.6231884057971014,1,0,0,0,0,0,0,0,2,1,0,1,0.37213930348258706,0.30810639279944607,0
5590-ZSKRV,0,0,1,1,0.07246376811594202,1,0,0,2,2,0,0,0,0,0,0,3,0.3621890547263682,0.053479113777982895,0
0191-ZHSKZ,1,0,0,0,0.39130434782608686,1,0,0,2,2,0,0,2,2,0,1,2,0.5621890547263682,0.2414608816062774,0
3887-PBQAO,0,0,1,1,0.6086956521739131,1,2,2,1,1,1,1,1,1,1,1,1,0.07611940298507464,0.13821832448649896,0
5919-TMRGD,0,0,0,1,0.4264026973998779,1,0,1,0,0,0,0,2,0,0,1,2,0.6079601990049751,0.006987075928917563,1
8108-UXRQN,0,0,1,1,0.11594202898550722,1,1,0,2,0,0,0,2,2,0,0,2,0.32139303482587067,0.06306831294714976,0
9191-MYQKX,0,0,1,0,0.05797101449275363,1,0,1,0,0,2,0,0,0,0,1,0,0.5661691542288558,0.05516962843295639,1
9919-YLNNG,0,0,0,0,0.5652173913043479,1,0,1,0,2,2,2,2,2,0,1,0,0.8512437810945274,0.49719593814908836,0
0318-ZOPWS,0,0,1,0,0.6666666666666666,1,0,2,1,1,1,1,1,1,2,1,0,0.018905472636815968,0.11014885760443108,0
4445-ZJNMU,1,0,0,0,0.08695652173913042,1,2,1,0,2,0,0,2,2,0,1,1,0.8064676616915423,0.1038483729517655,0
4808-YNLEU,0,0,1,0,0.4637681159420289,1,0,0,2,0,0,0,2,0,1,1,0,0.43681592039801,0.2534791137779829,0
1862-QRWPE,0,0,1,1,0.6521739130434782,1,0,2,1,1,1,1,1,1,2,0,0,0.023880597014925398,0.11980152319409182,0
2796-NNUFI,0,0,1,1,0.6231884057971014,1,0,2,1,1,1,1,1,1,2,1,3,0.01691542288557224,0.10481190860835443,0
3016-KSVCP,1,0,1,0,0.3768115942028985,1,1,0,0,0,0,0,2,0,0,0,3,0.15422885572139305,0.11429148396030461,0
4767-HZZHQ,1,0,1,1,0.39130434782608686,1,0,1,0,2,2,0,0,0,0,0,0,0.6348258706467662,0.29441495499653814,0
2424-WVHPL,1,0,0,0,0.4264026973998779,1,0,1,0,0,0,2,0,0,0,0,2,0.5616915422885572,0.006450496192014765,0
7233-PAHHL,1,0,1,1,0.9130434782608694,1,2,0,2,0,2,2,2,2,2,1,3,0.654228855721393,0.6572178629125317,0
6067-NGCEU,0,0,0,0,0.898550724637681,1,2,1,2,2,2,0,2,2,0,1,1,0.9233830845771144,0.8179321486268174,0
9848-JQJTX,1,0,0,0,0.9999999999999999,1,2,1,0,2,2,0,2,2,2,1,0,0.8223880597014926,0.8585564274174936,0
8637-XJIVR,0,0,0,0,0.13043478260869562,1,2,1,2,0,0,0,0,0,0,1,2,0.6039800995024875,0.10484075698130624,1
9803-FTJCG,1,0,1,1,0.9855072463768115,1,2,0,2,2,0,2,0,0,1,1,1,0.48358208955223875,0.545799676898223,0
0278-YXOOG,1,0,0,0,0.02898550724637681,1,0,2,1,1,1,1,1,1,0,0,3,0.027860696517412964,0.010968151396261228,1
3212-KXOCR,1,0,0,0,0.7101449275362318,1,0,2,1,1,1,1,1,1,2,0,0,0.027363184079602088,0.12559427648280636,0
4598-XLKNJ,0,0,1,0,0.3188405797101449,1,0,1,0,2,2,0,2,2,0,1,2,0.7985074626865672,0.2879875375028848,1
6380-ARCEH,1,0,0,0,0.4264026973998779,1,0,2,1,1,1,1,1,1,0,0,3,0.019402985074626955,0.0001615508885298711,0
3679-XASPY,0,0,1,1,0.4264026973998779,1,0,2,1,1,1,1,1,1,0,0,2,0.011940298507462754,7.500576967456318e-05,0
7123-WQUHX,1,0,0,0,0.5072463768115942,1,2,1,0,0,2,2,2,0,1,0,0,0.763681592039801,0.41389337641357027,0
5386-THSLQ,0,0,1,0,0.9130434782608694,1,1,0,0,2,2,0,2,0,1,0,0,0.2716417910447761,0.3471555504269559,0
3192-NQECA,1,0,1,0,0.9420289855072463,1,2,1,0,2,2,2,2,2,2,1,0,0.9129353233830846,0.8761885529656128,1
6180-YBIQI,1,0,0,0,0.02898550724637681,1,1,0,0,0,0,0,0,0,0,0,3,0.06019900497512437,0.009393030233094846,0
6728-DKUCO,0,0,1,1,0.9999999999999999,1,2,1,2,2,0,0,2,2,1,1,2,0.8547263681592041,0.840555042695592,0
9750-BOOHV,0,0,0,0,0.4202898550724637,1,1,0,2,0,0,0,0,0,1,0,3,0.11840796019900501,0.10487537502884836,0
8597-CWYHH,1,0,0,0,0.5797101449275363,1,2,1,0,0,0,0,2,2,1,0,3,0.7572139303482587,0.4503231017770598,0
2848-YXSMW,1,0,1,1,0.9999999999999999,1,0,2,1,1,1,1,1,1,2,0,1,0.011442786069651767,0.1551407800600046,0
0486-HECZI,1,0,1,0,0.753623188405797,1,2,1,2,2,0,0,2,0,0,1,2,0.7810945273631842,0.6023655665820448,1
4549-ZDQYY,0,0,0,0,0.7101449275362318,1,0,0,2,0,2,2,0,0,1,0,1,0.3950248756218906,0.34888645280406183,0
5712-AHQNN,0,0,0,0,0.5797101449275363,1,0,1,0,2,2,0,2,0,0,1,2,0.7303482587064677,0.4541080083083314,0
4846-WHAFZ,0,0,1,0,0.4927536231884056,1,2,1,0,0,0,0,0,0,0,1,2,0.5796019900497512,0.3287964458804523,1
5256-SKJGO,0,0,1,1,0.8840579710144927,1,1,0,0,2,0,2,2,2,2,1,2,0.36169154228855727,0.3928802215555043,0
3071-VBYPO,1,0,1,1,0.48236602175280147,1,0,1,2,2,0,0,2,0,0,0,2,0.7124378109452736,0.02649434571890147,0
9560-BBZXK,0,0,0,0,0.4782608695652173,1,1,0,2,0,0,0,0,0,2,0,0,0.12736318407960195,0.1278040618509116,0
5299-RULOA,0,0,1,1,0.1014492753623188,1,2,1,2,0,0,0,2,2,0,1,2,0.8159203980099503,0.12068428340641588,1
8402-OOOHJ,0,0,0,0,0.5507246376811594,1,0,2,1,1,1,1,1,1,2,0,3,0.023880597014925398,0.09420147703669512,0
9445-ZUEQE,1,0,1,1,0.3478260869565217,1,2,1,0,2,0,2,0,0,0,1,1,0.6661691542288557,0.246111239326102,0
1091-SOZGA,0,0,1,1,0.7681159420289856,1,2,1,0,0,2,0,2,2,1,1,1,0.8114427860696518,0.6342776367412878,0
2928-HLDBA,0,0,0,0,0.04347826086956521,1,0,2,1,1,1,1,1,1,0,0,3,0.024378109452736385,0.01084121855527348,0
0404-SWRVG,1,0,0,0,0.48236602175280147,1,2,1,0,0,0,0,0,0,0,1,2,0.5587064676616916,0.02431917839833833,1
6497-TILVL,0,0,1,1,0.05797101449275363,1,0,0,2,0,0,0,0,0,0,0,3,0.3228855721393035,0.03825871220863142,0
7219-TLZHO,0,0,1,1,0.01449275362318841,1,0,2,1,1,1,1,1,1,0,0,3,0.02587064676616918,0.005088852988691439,0
4622-YNKIJ,1,0,0,0,0.43478260869565205,1,0,1,2,0,0,2,2,0,2,1,2,0.7034825870646766,0.34720170782367876,0
4412-YLTKF,0,0,0,0,0.3478260869565217,1,2,1,0,0,2,0,0,0,0,1,2,0.5950248756218905,0.2442534041080083,1
6734-PSBAW,1,0,1,0,0.9999999999999999,1,2,2,1,1,1,1,1,1,2,1,0,0.052736318407960225,0.19676321255481188,0
3930-ZGWVE,1,0,0,0,0.4264026973998779,1,0,2,1,1,1,1,1,1,0,0,3,0.014925373134328401,0.00010962381721668635,0
2639-UGMAZ,1,0,0,0,0.9855072463768115,1,1,0,2,2,0,0,2,2,1,1,2,0.38009950248756225,0.4577140549273021,0
2876-GZYZC,0,0,0,0,0.14492753623188404,1,2,1,0,0,0,0,0,2,0,1,2,0.67363184079602,0.13810870066928227,0
6207-WIOLX,0,0,1,1,0.3188405797101449,1,1,0,2,2,2,0,2,2,0,1,1,0.4014925373134329,0.17122663281790906,1
8587-XYZSF,1,0,0,0,0.927536231884058,1,0,0,0,0,0,2,0,0,2,0,0,0.32139303482587067,0.3740249249942303,0
3091-FYHKI,1,0,0,0,0.4264026973998779,1,1,0,0,0,0,0,0,2,0,1,2,0.17114427860696524,0.001921301638587558,1
2372-HWUHI,1,0,0,0,0.4661002186524596,1,0,0,0,0,0,0,0,0,0,0,2,0.25970149253731345,0.007206323563351047,1
7799-LGRDP,0,0,0,0,0.5797101449275363,1,2,2,1,1,1,1,1,1,2,1,1,0.07412935323383091,0.1349411493191784,0
7850-VWJUU,0,0,0,0,0.28985507246376807,1,0,1,2,0,0,0,0,0,0,1,0,0.5646766169154229,0.20305792753288712,0
3774-VBNXY,0,0,1,1,0.8840579710144927,1,0,2,1,1,1,1,1,1,2,0,3,0.019402985074626955,0.1452746365105008,0
6217-KDYWC,1,0,0,1,0.782608695652174,1,0,2,1,1,1,1,1,1,2,1,3,0.01343283582089555,0.13290445418878374,0
0390-DCFDQ,0,0,1,0,0.4264026973998779,1,0,1,0,0,0,0,0,0,0,1,3,0.5194029850746269,0.005960073851834724,1
3146-MSEGF,0,0,1,1,0.9999999999999999,1,2,0,2,2,2,2,2,2,2,1,1,0.6945273631840796,0.7393087929840757,0
4080-OGPJL,0,0,0,0,0.07246376811594202,1,2,0,2,0,0,2,0,2,0,0,2,0.5263681592039802,0.06287214401107777,1
1095-WGNGG,0,0,1,0,0.8405797101449275,1,2,1,0,2,0,0,2,2,2,1,0,0.8238805970149254,0.6868739903069467,0
2636-SJDOU,1,0,0,0,0.8840579710144927,1,2,1,2,2,0,0,0,0,1,1,1,0.6572139303482587,0.6081525501961689,0
1131-QQZEB,1,0,1,0,0.9855072463768115,1,2,2,1,1,1,1,1,1,2,0,0,0.05671641791044785,0.20048465266558965,0
5716-EZXZN,0,0,1,1,0.898550724637681,1,2,1,2,2,0,2,2,0,2,1,1,0.8039800995024875,0.7382760212324024,0
6837-BJYDQ,1,0,0,0,0.48236602175280147,1,0,2,1,1,1,1,1,1,1,0,3,0.01343283582089555,0.004909993076390451,0
2135-RXIHG,1,0,0,0,0.4264026973998779,1,0,0,0,0,0,0,0,0,0,1,2,0.272636815920398,0.0030983152550196347,1
6440-DKQGE,1,0,0,1,0.39130434782608686,1,0,0,0,2,2,0,2,0,1,0,1,0.4601990049751244,0.2205342718670667,0
3466-BYAVD,1,0,1,1,0.17391304347826084,1,0,0,0,2,2,2,0,2,0,1,3,0.509950248756219,0.12146318947611354,0
3780-YVMFA,0,0,1,1,0.07246376811594202,1,0,0,0,0,0,2,2,2,0,1,2,0.5004975124378109,0.0629529194553427,0
3874-EQOEP,1,0,0,0,0.05797101449275363,1,2,1,0,0,0,0,2,2,0,0,3,0.763681592039801,0.07347103623355641,1
1679-JRFBR,0,0,1,1,0.9710144927536231,1,2,1,2,2,2,0,2,2,1,1,1,0.8945273631840798,0.9129644588045234,0
9073-ZZIAY,1,0,1,1,0.855072463768116,1,0,0,2,2,2,2,2,2,2,0,2,0.6751243781094527,0.5996365105008078,0
3077-RSNTJ,0,0,1,1,0.04347826086956521,1,0,2,1,1,1,1,1,1,0,0,3,0.01442786069651747,0.010927763674128788,0
6551-GNYDG,0,0,1,1,0.15942028985507245,1,0,1,0,0,0,0,0,2,0,1,0,0.6233830845771144,0.13085621970920838,0
9167-APMXZ,0,0,0,0,0.2753623188405797,1,2,1,0,0,0,0,2,0,0,1,0,0.6557213930348259,0.20807177475190397,0
2749-CTKAJ,1,0,1,1,0.2753623188405797,1,0,2,1,1,1,1,1,1,1,0,3,0.018905472636815968,0.04628432956381259,0
6371-NZYEG,1,0,1,1,0.18840579710144925,1,0,0,2,0,2,0,2,0,2,0,3,0.4577114427860697,0.11599353796445877,0
7554-NEWDD,1,0,0,0,0.1014492753623188,1,2,2,1,1,1,1,1,1,2,0,0,0.07412935323383091,0.026863604892684023,0
8992-VONJD,0,0,0,1,0.14492753623188404,1,0,0,2,2,0,0,0,0,0,1,2,0.3756218905472637,0.08605469651511655,0
0867-MKZVY,0,0,1,0,0.2463768115942029,1,2,1,2,0,0,0,0,0,0,0,2,0.6383084577114428,0.1815774290330025,1
4482-EWFMI,0,0,0,0,0.4661002186524596,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.013431802446341984,0
4648-YPBTM,1,0,0,0,0.7246376811594203,1,2,0,0,2,2,2,0,2,2,1,0,0.5537313432835822,0.4545868912993307,0
2907-ILJBN,0,0,1,1,0.11594202898550722,1,0,2,1,1,1,1,1,1,1,0,3,0.02338308457711452,0.024821140087699062,0
6345-FZOQH,1,0,1,0,0.9565217391304347,1,0,2,1,1,1,1,1,1,2,0,3,0.016417910447761197,0.15516385875836602,0
3376-BMGFE,0,0,0,0,0.01449275362318841,1,0,1,0,0,0,0,0,0,0,1,0,0.5238805970149254,0.02933302561735518,1
5997-OPVFA,1,0,1,0,0.9999999999999999,1,2,0,2,2,2,2,2,2,2,1,0,0.7044776119402985,0.7195534271867066,0
3445-HXXGF,1,0,1,0,0.7971014492753623,1,1,0,0,2,2,0,0,2,0,1,2,0.2691542288557214,0.30376182783291017,1
1159-WFSGR,0,0,1,1,0.18840579710144925,1,0,2,1,1,1,1,1,1,0,0,2,0.021393034825870683,0.034918070620817004,0
7654-YWJUF,1,0,1,0,0.5797101449275363,1,0,1,2,0,2,2,0,0,1,1,0,0.6567164179104478,0.4062370182321717,0
1875-QIVME,0,0,1,0,0.4661002186524596,1,2,1,0,0,2,2,2,2,0,1,2,0.8572139303482588,0.0258481421647819,1
6727-IOTLZ,1,0,1,0,0.15942028985507245,1,0,0,0,2,2,2,2,2,2,0,3,0.6338308457711443,0.13419686129702285,0
0691-JVSYA,0,0,1,0,0.7246376811594203,1,0,1,0,0,2,0,2,2,1,1,0,0.7621890547263681,0.574821140087699,1
5918-VUKWP,0,0,0,0,0.4202898550724637,1,0,2,1,1,1,1,1,1,1,0,0,0.02288557213930348,0.07336141241633967,0
1744-JHKYS,0,0,1,0,0.4492753623188405,1,2,2,1,1,1,1,1,1,0,0,2,0.06417910447761199,0.08786060466189707,0
2656-FMOKZ,0,0,0,0,0.17391304347826084,1,2,1,0,0,0,0,0,0,0,1,3,0.5592039800995026,0.13003692591737825,1
2070-FNEXE,0,0,0,0,0.05797101449275363,1,0,1,2,0,0,0,0,0,0,0,0,0.5791044776119403,0.05594276482806368,1
5947-SGKCL,0,0,1,1,0.17391304347826084,1,2,1,0,2,2,0,2,2,0,1,0,0.8666666666666667,0.17775790445418876,0
3712-PKXZA,1,0,1,0,0.8405797101449275,1,0,2,1,1,1,1,1,1,1,1,1,0.02288557213930348,0.14230325409646893,0
6317-YPKDH,0,0,0,0,0.4264026973998779,1,1,0,0,2,0,0,0,0,0,0,0,0.11641791044776129,0.0012866374336487074,1
6582-OIVSP,0,0,0,0,0.4264026973998779,1,0,0,0,0,0,0,0,0,0,0,3,0.2691542288557214,0.003057927532887139,0
9367-WXLCH,1,0,0,0,0.07246376811594202,1,2,1,0,0,0,0,0,2,0,0,0,0.6592039800995024,0.07429609969997691,1
5524-KHNJP,1,0,1,1,0.43478260869565205,1,0,0,2,0,2,0,2,2,1,0,1,0.5621890547263682,0.2809254558042926,0
1918-ZBFQJ,0,0,0,0,0.14492753623188404,1,0,1,0,2,2,0,0,0,0,1,2,0.6069651741293532,0.12610777752134777,1
1024-GUALD,0,0,1,0,0.4264026973998779,1,1,0,0,0,0,0,0,0,0,1,2,0.06517412935323386,0.0006923609508424078,1
4827-USJHP,1,0,0,0,0.2463768115942029,1,0,0,0,2,0,0,0,0,0,1,3,0.3338308457711443,0.11597622894068771,0
8167-GJLRN,1,0,0,0,0.48236602175280147,1,1,0,0,0,0,2,0,0,0,0,2,0.12089552238805973,0.007310177705977361,0
0956-SYCWG,0,0,0,0,0.14492753623188404,1,0,2,1,1,1,1,1,1,1,0,2,0.013930348258706537,0.02607892914839602,0
8017-UVSZU,0,0,1,0,0.5362318840579711,1,2,0,0,2,0,0,0,0,0,0,1,0.38159203980099504,0.2723632587122086,0
7100-FQPRV,1,0,1,1,0.5797101449275363,1,2,0,2,0,0,2,0,2,1,1,1,0.5338308457711444,0.36401453957996766,0
2472-OVKUP,1,0,1,0,0.04347826086956521,1,0,1,0,2,2,0,0,2,0,1,2,0.7238805970149254,0.05910454650357719,1
2984-RGEYA,0,0,1,1,0.9565217391304347,1,0,2,1,1,1,1,1,1,2,0,0,0.014925373134328401,0.1565428109854604,0
9680-NIAUV,0,0,1,1,0.9999999999999999,1,2,1,2,2,2,0,2,2,2,0,1,0.909950248756219,0.9358989153011769,0
2146-EGVDT,1,0,1,1,0.8115942028985507,1,0,2,1,1,1,1,1,1,2,0,1,0.010447761194029848,0.13546042003231018,0
2604-IJPDU,0,0,1,0,0.2463768115942029,1,0,1,2,2,0,2,2,0,0,1,2,0.7791044776119402,0.21726863604892682,0
